Feature,Coefficient,AbsCoefficient
Prev Goals For,0.2989885755709013,0.2989885755709013
Prev Squad Value,0.25397966972127056,0.25397966972127056
Prev Goals Against,-0.16352406032619132,0.16352406032619132
Prev Income,-0.1618824522559961,0.1618824522559961
Prev Expenditure,0.15786322354056737,0.15786322354056737
Prev Avg. Squad Age,-0.09217661748665995,0.09217661748665995
Prev Income_missing,0.042856992432514514,0.042856992432514514
Prev Points,-0.028270919454701202,0.028270919454701202
Prev Expenditure_missing,0.015080848404201408,0.015080848404201408
