feature,importance_mean,importance_std,ci_lower,ci_upper,robust_positive
Prev Expenditure,0.14257536208625868,0.03471578751977201,0.08371682485768155,0.2036850627158016,True
Prev Squad Value,0.05786370032557503,0.035752660611548366,-0.010792737873163148,0.1161101813869506,False
Prev Goals For,0.034197886216331394,0.015976391407954572,0.007697075240929311,0.061424455287322474,True
Prev Points,0.029208346394547443,0.028669908378752253,-0.025308210989321237,0.07748086323130754,False
Prev Income,0.0080678085771625,0.022077337780895316,-0.03715471312772018,0.04088727223340711,False
Prev Expenditure_missing,0.0058782410693172206,0.003671643489921851,-0.0020881797852291507,0.010734952359029664,False
Prev Avg. Squad Age,0.0034937030511981338,0.012059781279446045,-0.01570844785677695,0.026440410228110552,False
lg_Ligue One,-8.659739592076221e-17,1.1279805271852634e-16,-2.220446049250313e-16,0.0,False
lg_LaLiga,-8.881784197001253e-17,1.3643570823979246e-16,-3.3306690738754696e-16,5.884182030513342e-17,False
lg_Championship,-9.547918011776346e-17,1.3271598754239955e-16,-3.3306690738754696e-16,0.0,False
lg_League One,-1.0436096431476471e-16,1.334719947262213e-16,-3.3306690738754696e-16,0.0,False
lg_Serie A,-1.0880185641326534e-16,1.278503859213931e-16,-3.3306690738754696e-16,0.0,False
lg_Premier League,-1.0880185641326534e-16,1.33622682885672e-16,-3.3306690738754696e-16,0.0,False
lg_Bundesliga,-1.1990408665951691e-16,1.304795243355877e-16,-3.3306690738754696e-16,0.0,False
lg_League Two,-1.2434497875801754e-16,1.3009337514808422e-16,-3.3306690738754696e-16,0.0,False
Prev Income_missing,-0.0029388207234123053,0.0027683326395225,-0.008008118847983458,0.0015836319478186207,False
Prev Goals Against,-0.05714523653385282,0.025429624495839215,-0.09729368489909669,-0.009879549486898722,False
